ALFAJOR	GI-AL
AVELLANA	GI-AV
BISCOFF	GI-BI
CARAMEL DREAM	GI-CD
CHOCO-BROWNIE	GI-CB
CHOCO BROWNIE	GI-CB
LA ORIGINAL	GI-OR
ORIGINAL	GI-OR
MES	GI-MES
MILOVE	GI-MI
MI LOVE	GI-MI
OH-T MEAL	GI-OH
OATMEAL	GI-OH
AVENA	GI-OH
PIE DE LIMON	GI-PL
PIE DE LIMÓN	GI-PL
RED VELVET	GI-RV
SMORES	GI-SM
SMORES	GI-SM
SMORES	GI-SM
SECRETO DE CARAMELO	GI-SC
CARAMELO SALADO	GI-SC
CARAMELOSALADO	GI-SC
COOKIES AND CREAM	BI-CC
COOKIES & CREAM	BI-CC
COOKIES	BI-CC
KINDER	BI-KI
SNICKERS	BI-SN
CAMPFIRE	BI-CA
LECHE KLIM	BI-LK
MINIS	MIN
MINI	MIN
MASA 40 (C)	C-40
MASA 75 (C)	C-75
PANES (C)	C-C
NUTS4YOU	GI-NU
NUTS 4 YOU	GI-NU
NUTS FOR YOU	GI-NU
MACADAMIA	GI-NU
Pistacho Bliss	GI-PB
PISTACHO BLISS	GI-PB
PISTACHO	GI-PB
